school,test,college,subject,style,direction,Remarks,polite,language,math,project
(10295)江南大学,统考,(019)物联网工程学院,(085403)(专业学位)集成电路工程,全日制,(02)集成电路器件与工艺,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(810)模拟与数字电子技术
(10295)江南大学,统考,(019)物联网工程学院,(085403)(专业学位)集成电路工程,非全日制,(01)集成电路设计与应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(810)模拟与数字电子技术
(10304)南通大学,统考,(630)信息科学技术学院,(085410)(专业学位)人工智能,全日制,(03)不确定人工智能与类脑计算,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)数据结构
(10304)南通大学,统考,(630)信息科学技术学院,(085410)(专业学位)人工智能,全日制,(02)计算机视觉与行为感知,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)数据结构
(10295)江南大学,统考,(019)物联网工程学院,(085403)(专业学位)集成电路工程,全日制,(03)集成电路封装与测试,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(810)模拟与数字电子技术
(10294)河海大学,单考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,非全日制,(02)电子与信息工程,备注：,(111)单独考试思想政治理论,(251)英语（单）,(650)数学（单）,(845)电子技术基础
(10304)南通大学,统考,(630)信息科学技术学院,(085403)(专业学位)集成电路工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)数字系统原理与设计
(10304)南通大学,统考,(630)信息科学技术学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)数字系统原理与设计
(10304)南通大学,统考,(630)信息科学技术学院,(085410)(专业学位)人工智能,全日制,(01)大数据分析与知识工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)数据结构
(10304)南通大学,统考,(612)电气工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(819)电路
(10304)南通大学,统考,(610)机械工程学院,(085407)(专业学位)仪器仪表工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)测控电路
(10304)南通大学,统考,(602)理学院,(085408)(专业学位)光电信息工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)光学
(10304)南通大学,统考,(630)信息科学技术学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)数据结构
(10294)河海大学,单考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,非全日制,(01)计算机及软件工程,备注：,(111)单独考试思想政治理论,(251)英语（单）,(650)数学（单）,(838)计算机技术基础
(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,非全日制,(01)计算机及软件工程,1. 01 方向单独排名，全日制招生计划共96 人，其中推免计划20 人；非全日制招生计划6人。02 方向单独排名，全日制招生计划共49人，其中推免计划8 人；非全日制招生计划6 人。2. 不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(838)计算机技术基础
(10294)河海大学,统考,(013)信息学部（物联网工程学院）,(085400)(专业学位)电子信息,全日制,(09)微电子与集成电路工程,1.06、09方向一起排名，全日制招生计划共47人，其中推免计划5人；07方向单独排名，全日制招生计划共30人，其中推免计划2人；08方向单独排名，全日制招生计划共16人，其中推免计划1人。2.不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(863)信号与系统
(10294)河海大学,统考,(013)信息学部（物联网工程学院）,(085400)(专业学位)电子信息,全日制,(08)自动化与智能工程,1.06、09方向一起排名，全日制招生计划共47人，其中推免计划5人；07方向单独排名，全日制招生计划共30人，其中推免计划2人；08方向单独排名，全日制招生计划共16人，其中推免计划1人。2.不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(827)自动控制原理基础
(10294)河海大学,统考,(013)信息学部（物联网工程学院）,(085400)(专业学位)电子信息,全日制,(07)计算机及软件工程,1.06、09方向一起排名，全日制招生计划共47人，其中推免计划5人；07方向单独排名，全日制招生计划共30人，其中推免计划2人；08方向单独排名，全日制招生计划共16人，其中推免计划1人。2.不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(890)算法与数据结构
